WALS_Feature_ID	Name	hi (autologistic-Disjoint)	95% HPD
144A	Position of Negative Word With Respect to Subject, Object, and Verb	0.0202	[0.0149, 0.0255]
93A	Position of Interrogative Phrases in Content Questions	0.0165	[0.0140, 0.0188]
97A	Relationship between the Order of Object and Verb and the Order of Adjective and	0.0158	[0.0136, 0.0176]
82A	Order of Subject and Verb	0.0153	[0.0090, 0.0189]
81A	Order of Subject, Object and Verb	0.0141	[0.0123, 0.0160]
95A	Relationship between the Order of Object and Verb and the Order of Adposition	0.0141	[0.0121, 0.0161]
6A	Uvular Consonants	0.0139	[0.0052, 0.0199]
92A	Position of Polar Question Particles	0.0137	[0.0109, 0.0168]
107A	Passive Constructions	0.0132	[0.0088, 0.0169]
96A	Relationship between the Order of Object and Verb and the Order of Relative	0.0129	[0.0090, 0.0168]
83A	Order of Object and Verb	0.0129	[0.0109, 0.0146]
88A	Order of Demonstrative and Noun	0.0127	[0.0105, 0.0147]
85A	Order of Adposition and Noun Phrase	0.0126	[0.0106, 0.0146]
51A	Position of Case Affixes	0.0125	[0.0096, 0.0157]
89A	Order of Numeral and Noun	0.0124	[0.0105, 0.0143]
4A	Voicing in Plosives and Fricatives	0.0120	[0.0092, 0.0144]
57A	Position of Pronominal Possessive Affixes	0.0118	[0.0088, 0.0146]
118A	Predicative Adjectives	0.0113	[0.0064, 0.0145]
78A	Coding of Evidentiality	0.0112	[0.0081, 0.0148]
86A	Order of Genitive and Noun	0.0112	[0.0093, 0.0128]
11A	Front Rounded Vowels	0.0106	[0.0052, 0.0166]
27A	Reduplication	0.0106	[0.0040, 0.0161]
37A	Definite Articles	0.0102	[0.0047, 0.0148]
77A	Semantic Distinctions of Evidentiality	0.0102	[0.0067, 0.0131]
120A	Zero Copula for Predicate Nominals	0.0102	[0.0058, 0.0148]
1A	Consonant Inventories	0.0098	[0.0021, 0.0173]
38A	Indefinite Articles	0.0098	[0.0056, 0.0134]
9A	The Velar Nasal	0.0098	[0.0055, 0.0136]
52A	Comitatives and Instrumentals	0.0097	[0.0053, 0.0134]
91A	Order of Degree Word and Adjective	0.0092	[0.0061, 0.0116]
2A	Vowel Quality Inventories	0.0092	[0.0069, 0.0120]
5A	Voicing and Gaps in Plosive Systems	0.0089	[0.0066, 0.0114]
84A	Order of Object, Oblique, and Verb	0.0088	[0.0052, 0.0126]
26A	Prefixing vs. Suffixing in Inflectional Morphology	0.0087	[0.0052, 0.0115]
55A	Numeral Classifiers	0.0087	[0.0050, 0.0133]
87A	Order of Adjective and Noun	0.0087	[0.0071, 0.0104]
7A	Glottalized Consonants	0.0086	[0.0032, 0.0120]
71A	The Prohibitive	0.0085	[0.0039, 0.0131]
112A	Negative Morphemes	0.0083	[0.0065, 0.0105]
19A	Presence of Uncommon Consonants	0.0082	[0.0051, 0.0110]
69A	Position of Tense-Aspect Affixes	0.0081	[0.0058, 0.0102]
119A	Nominal and Locational Predication	0.0077	[0.0043, 0.0110]
143A	Order of Negative Morpheme and Verb	0.0077	[0.0051, 0.0106]
143F	Postverbal Negative Morphemes	0.0073	[0.0038, 0.0101]
102A	Verbal Person Marking	0.0071	[0.0039, 0.0103]
64A	Nominal and Verbal Conjunction	0.0070	[0.0028, 0.0108]
103A	Third Person Zero of Verbal Person Marking	0.0070	[0.0023, 0.0101]
12A	Syllable Structure	0.0069	[0.0039, 0.0100]
17A	Rhythm Types	0.0067	[0.0024, 0.0104]
129A	Hand and Arm	0.0064	[0.0014, 0.0113]
46A	Indefinite Pronouns	0.0064	[0.0026, 0.0096]
72A	Imperative-Hortative Systems	0.0061	[0.0025, 0.0092]
143E	Preverbal Negative Morphemes	0.0060	[0.0033, 0.0088]
113A	Symmetric and Asymmetric Standard Negation	0.0060	[0.0011, 0.0099]
73A	The Optative	0.0058	[0.0021, 0.0089]
105A	Ditransitive Constructions: The Verb ’Give’	0.0058	[0.0021, 0.0100]
130A	Finger and Hand	0.0056	[0.0019, 0.0097]
3A	Consonant-Vowel Ratio	0.0055	[0.0017, 0.0089]
124A	’Want’ Complement Subjects	0.0055	[0.0011, 0.0099]
90A	Order of Relative Clause and Noun	0.0054	[0.0006, 0.0091]
48A	Person Marking on Adpositions	0.0053	[0.0017, 0.0085]
70A	The Morphological Imperative	0.0052	[0.0022, 0.0081]
101A	Expression of Pronominal Subjects	0.0050	[0.0020, 0.0083]
116A	Polar Questions	0.0048	[0.0025, 0.0076]
14A	Fixed Stress Locations	0.0045	[0.0011, 0.0084]
44A	Gender Distinctions in Independent Personal Pronouns	0.0045	[0.0015, 0.0070]
16A	Weight Factors in Weight-Sensitive Stress Systems	0.0044	[0.0007, 0.0080]
33A	Coding of Nominal Plurality	0.0043	[0.0015, 0.0072]
15A	Weight-Sensitive Stress	0.0043	[0.0014, 0.0082]
114A	Subtypes of Asymmetric Standard Negation	0.0035	[0.0003, 0.0067]
100A	Alignment of Verbal Person Marking	0.0035	[0.0007, 0.0068]
53A	Ordinal Numerals	0.0035	[0.0004, 0.0069]
143G	Minor morphological means of signaling negation	0.0033	[0.0004, 0.0071]
111A	Nonperiphrastic Causative Constructions	0.0028	[0.0003, 0.0058]
18A	Absence of Common Consonants	0.0028	[0.0007, 0.0056]
13A	Tone	0.0027	[0.0005, 0.0054]
144B	Position of negative words relative to beginning and end of clause and with respect	0.0027	[0.0003, 0.0051]
90C	Postnominal relative clauses	0.0026	[0.0004, 0.0052]
104A	Order of Person Markers on the Verb	0.0026	[0.0005, 0.0056]
34A	Occurrence of Nominal Plurality	0.0020	[0.0002, 0.0044]
94A	Order of Adverbial Subordinator and Clause	0.0018	[0.0000, 0.0044]
8A	Lateral Consonants	0.0016	[0.0001, 0.0033]
