WALS_Feature_ID	Name	"hi (autologistic-basic)	"	95% HPD
144A	Position of Negative Word With Respect to Subject, Object, and Verb	0.0222	[0.0146, 0.0289]
97A	Relationship between the Order of Object and Verb and the Order of Adjective and	0.0182	[0.0164, 0.0204]
93A	Position of Interrogative Phrases in Content Questions	0.0166	[0.0150, 0.0184]
81A	Order of Subject, Object and Verb	0.0163	[0.0145, 0.0176]
82A	Order of Subject and Verb	0.0163	[0.0115, 0.0201]
95A	Relationship between the Order of Object and Verb and the Order of Adposition	0.0159	[0.0140, 0.0175]
83A	Order of Object and Verb	0.0152	[0.0137, 0.0167]
89A	Order of Numeral and Noun	0.015	[0.0132, 0.0167]
92A	Position of Polar Question Particles	0.0144	[0.0120, 0.0168]
85A	Order of Adposition and Noun Phrase	0.0144	[0.0120, 0.0161]
86A	Order of Genitive and Noun	0.014	[0.0127, 0.0158]
107A	Passive Constructions	0.014	[0.0109, 0.0172]
57A	Position of Pronominal Possessive Affixes	0.0138	[0.0110, 0.0163]
51A	Position of Case Affixes	0.0135	[0.0110, 0.0163]
6A	Uvular Consonants	0.0135	[0.0066, 0.0187]
96A	Relationship between the Order of Object and Verb and the Order of Relative	0.0134	[0.0104, 0.0168]
88A	Order of Demonstrative and Noun	0.0134	[0.0118, 0.0148]
1A	Consonant Inventories	0.0125	[0.0058, 0.0167]
118A	Predicative Adjectives	0.012	[0.0065, 0.0158]
4A	Voicing in Plosives and Fricatives	0.012	[0.0097, 0.0141]
78A	Coding of Evidentiality	0.0107	[0.0071, 0.0137]
91A	Order of Degree Word and Adjective	0.0106	[0.0084, 0.0127]
87A	Order of Adjective and Noun	0.0106	[0.0088, 0.0123]
77A	Semantic Distinctions of Evidentiality	0.0103	[0.0077, 0.0133]
120A	Zero Copula for Predicate Nominals	0.0102	[0.0026, 0.0145]
37A	Definite Articles	0.0102	[0.0054, 0.0142]
38A	Indefinite Articles	0.0102	[0.0069, 0.0139]
9A	The Velar Nasal	0.0101	[0.0068, 0.0126]
26A	Prefixing vs. Suffixing in Inflectional Morphology	0.0099	[0.0069, 0.0133]
112A	Negative Morphemes	0.0098	[0.0072, 0.0126]
