WALS_Feature_ID	Name	vi (autologistic-Disjoint)	95% HPD
73A	The Optative	0.0348	[0.0093, 0.0620]
6A	Uvular Consonants	0.0285	[0.0113, 0.0485]
33A	Coding of Nominal Plurality	0.0281	[0.0054, 0.0386]
7A	Glottalized Consonants	0.027	[0.0092, 0.0443]
143G	Minor morphological means of signaling negation	0.0218	[0.0004, 0.0472]
78A	Coding of Evidentiality	0.0169	[0.0061, 0.0278]
94A	Order of Adverbial Subordinator and Clause	0.0161	[0.0069, 0.0237]
111A	Nonperiphrastic Causative Constructions	0.0159	[0.0065, 0.0266]
84A	Order of Object, Oblique, and Verb	0.0158	[0.0065, 0.0243]
124A	’Want’ Complement Subjects	0.0154	[0.0076, 0.0228]
86A	Order of Genitive and Noun	0.0154	[0.0093, 0.0224]
77A	Semantic Distinctions of Evidentiality	0.0152	[0.0057, 0.0267]
4A	Voicing in Plosives and Fricatives	0.0142	[0.0041, 0.0236]
96A	Relationship between the Order of Object and Verb and the Order of Relative	0.014	[0.0075, 0.0189]
38A	Indefinite Articles	0.0138	[0.0047, 0.0241]
90C	Postnominal relative clauses	0.0135	[0.0024, 0.0248]
9A	The Velar Nasal	0.0132	[0.0003, 0.0332]
93A	Position of Interrogative Phrases in Content Questions	0.0122	[0.0066, 0.0193]
118A	Predicative Adjectives	0.0122	[0.0004, 0.0206]
90A	Order of Relative Clause and Noun	0.012	[0.0056, 0.0189]
37A	Definite Articles	0.0118	[0.0020, 0.0217]
103A	Third Person Zero of Verbal Person Marking	0.0113	[0.0042, 0.0198]
95A	Relationship between the Order of Object and Verb and the Order of Adposition	0.0112	[0.0057, 0.0177]
26A	Prefixing vs. Suffixing in Inflectional Morphology	0.011	[0.0031, 0.0202]
52A	Comitatives and Instrumentals	0.0109	[0.0037, 0.0183]
88A	Order of Demonstrative and Noun	0.0105	[0.0053, 0.0161]
97A	Relationship between the Order of Object and Verb and the Order of Adjective and	0.0102	[0.0043, 0.0148]
71A	The Prohibitive	0.0101	[0.0017, 0.0183]
51A	Position of Case Affixes	0.0101	[0.0042, 0.0164]
120A	Zero Copula for Predicate Nominals	0.01	[0.0024, 0.0184]
5A	Voicing and Gaps in Plosive Systems	0.01	[0.0019, 0.0182]
13A	Tone	0.0092	[0.0030, 0.0157]
17A	Rhythm Types	0.0092	[0.0019, 0.0155]
85A	Order of Adposition and Noun Phrase	0.0091	[0.0033, 0.0150]
1A	Consonant Inventories	0.009	[0.0009, 0.0195]
27A	Reduplication	0.0088	[0.0017, 0.0152]
129A	Hand and Arm	0.0086	[0.0001, 0.0189]
34A	Occurrence of Nominal Plurality	0.0086	[0.0019, 0.0165]
113A	Symmetric and Asymmetric Standard Negation	0.0085	[0.0006, 0.0181]
102A	Verbal Person Marking	0.0081	[0.0014, 0.0157]
64A	Nominal and Verbal Conjunction	0.0081	[0.0009, 0.0150]
114A	Subtypes of Asymmetric Standard Negation	0.0081	[0.0005, 0.0159]
100A	Alignment of Verbal Person Marking	0.008	[0.0015, 0.0143]
53A	Ordinal Numerals	0.0078	[0.0005, 0.0155]
91A	Order of Degree Word and Adjective	0.0074	[0.0007, 0.0143]
143E	Preverbal Negative Morphemes	0.0074	[0.0023, 0.0123]
81A	Order of Subject, Object and Verb	0.0073	[0.0021, 0.0123]
2A	Vowel Quality Inventories	0.0072	[0.0009, 0.0153]
143A	Order of Negative Morpheme and Verb	0.0068	[0.0025, 0.0122]
83A	Order of Object and Verb	0.0067	[0.0020, 0.0119]
104A	Order of Person Markers on the Verb	0.0066	[0.0005, 0.0133]
3A	Consonant-Vowel Ratio	0.0066	[0.0004, 0.0136]
107A	Passive Constructions	0.0065	[0.0009, 0.0121]
87A	Order of Adjective and Noun	0.0064	[0.0015, 0.0109]
57A	Position of Pronominal Possessive Affixes	0.006	[0.0008, 0.0110]
55A	Numeral Classifiers	0.006	[0.0007, 0.0114]
48A	Person Marking on Adpositions	0.006	[0.0006, 0.0118]
11A	Front Rounded Vowels	0.0057	[0.0003, 0.0121]
14A	Fixed Stress Locations	0.0057	[0.0004, 0.0115]
19A	Presence of Uncommon Consonants	0.0056	[0.0005, 0.0105]
44A	Gender Distinctions in Independent Personal Pronouns	0.0056	[0.0006, 0.0112]
144A	Position of Negative Word With Respect to Subject, Object, and Verb	0.0055	[0.0004, 0.0115]
16A	Weight Factors in Weight-Sensitive Stress Systems	0.0054	[0.0007, 0.0108]
105A	Ditransitive Constructions: The Verb ’Give’	0.005	[0.0004, 0.0101]
15A	Weight-Sensitive Stress	0.005	[0.0007, 0.0103]
119A	Nominal and Locational Predication	0.005	[0.0003, 0.0098]
70A	The Morphological Imperative	0.005	[0.0003, 0.0100]
12A	Syllable Structure	0.005	[0.0004, 0.0105]
144B	Position of negative words relative to beginning and end of clause and with respect	0.005	[0.0006, 0.0094]
69A	Position of Tense-Aspect Affixes	0.0048	[0.0006, 0.0097]
72A	Imperative-Hortative Systems	0.0046	[0.0007, 0.0104]
46A	Indefinite Pronouns	0.0046	[0.0003, 0.0095]
116A	Polar Questions	0.0046	[0.0006, 0.0087]
92A	Position of Polar Question Particles	0.0045	[0.0002, 0.0096]
143F	Postverbal Negative Morphemes	0.0042	[0.0007, 0.0084]
89A	Order of Numeral and Noun	0.0038	[0.0003, 0.0077]
112A	Negative Morphemes	0.0038	[0.0005, 0.0076]
8A	Lateral Consonants	0.0035	[0.0005, 0.0074]
