Vars	Value_cfx
Greater Mesopotamia - African Savannah	0.2630827742362786
N Coast New Guinea - African Savannah	0.09207100113317651
Southeast Asia - African Savannah	0.1302738699811145
Mesoamerica - African Savannah	0.19065270832511175
NE South America - African Savannah	0.17983893005704313
S Africa - African Savannah	0.12484066649379287
Oceania - African Savannah	0.13400652359173754
Greater Abyssinia - African Savannah	0.2817179012312754
S New Guinea - African Savannah	0.18213869368305932
Indic - African Savannah	0.2169681654536465
N Coast Asia - African Savannah	0.6515652916400292
E North America - African Savannah	0.49462236819218314
Alaska-Oregon - African Savannah	0.5271527865499658
Inner Asia - African Savannah	0.3445864912210894
N Australia - African Savannah	0.3257439566642166
Europe - African Savannah	0.37632575498200843
Basin and Plains - African Savannah	0.39885037318569627
Andean - African Savannah	0.46914560736410627
Interior New Guinea - African Savannah	0.404174053492804
California - African Savannah	0.4393458667778595
N Africa - African Savannah	0.5380891274251349
S Australia - African Savannah	0.5581815937407444
SE South America - African Savannah	0.5846210012020389
N Coast New Guinea - Greater Mesopotamia	0.22694853371596188
Southeast Asia - Greater Mesopotamia	0.47516968856946906
Mesoamerica - Greater Mesopotamia	0.1747063015679104
NE South America - Greater Mesopotamia	0.12144290702697186
S Africa - Greater Mesopotamia	0.25343043443485663
Oceania - Greater Mesopotamia	0.4722923373850462
Greater Abyssinia - Greater Mesopotamia	0.09776027908346022
S New Guinea - Greater Mesopotamia	0.15298493721929726
Indic - Greater Mesopotamia	0.16439118227966412
N Coast Asia - Greater Mesopotamia	0.2421959307090898
E North America - Greater Mesopotamia	0.23843642660422779
Alaska-Oregon - Greater Mesopotamia	0.23333103060489474
Inner Asia - Greater Mesopotamia	0.15412195711797289
N Australia - Greater Mesopotamia	0.18193890553888833
Europe - Greater Mesopotamia	0.16406809814359266
Basin and Plains - Greater Mesopotamia	0.18158138437417057
Andean - Greater Mesopotamia	0.15540867371403327
Interior New Guinea - Greater Mesopotamia	0.2715939378618328
California - Greater Mesopotamia	0.17073572525098862
N Africa - Greater Mesopotamia	0.28110587725621156
S Australia - Greater Mesopotamia	0.2517602099459864
SE South America - Greater Mesopotamia	0.2935143631565739
Southeast Asia - N Coast New Guinea	0.11462541083603787
Mesoamerica - N Coast New Guinea	0.14892051340467155
NE South America - N Coast New Guinea	0.12209756107270664
S Africa - N Coast New Guinea	0.2169653011664534
Oceania - N Coast New Guinea	0.08628034706527245
Greater Abyssinia - N Coast New Guinea	0.2545619320458941
S New Guinea - N Coast New Guinea	0.07464965368532361
Indic - N Coast New Guinea	0.18590067172532906
N Coast Asia - N Coast New Guinea	0.4161390214054404
E North America - N Coast New Guinea	0.30022689829229837
Alaska-Oregon - N Coast New Guinea	0.34446115537565897
Inner Asia - N Coast New Guinea	0.2778167473264653
N Australia - N Coast New Guinea	0.17595059254260634
Europe - N Coast New Guinea	0.3776349368475803
Basin and Plains - N Coast New Guinea	0.23357449871362923
Andean - N Coast New Guinea	0.30400331177284157
Interior New Guinea - N Coast New Guinea	0.21808239328472037
California - N Coast New Guinea	0.2544199901143156
N Africa - N Coast New Guinea	0.6081799460017455
S Australia - N Coast New Guinea	0.3322529350730278
SE South America - N Coast New Guinea	0.37784574097483725
Mesoamerica - Southeast Asia	0.2795497382451796
NE South America - Southeast Asia	0.20998456323638404
S Africa - Southeast Asia	0.3397055520179323
Oceania - Southeast Asia	0.09584313887462753
Greater Abyssinia - Southeast Asia	0.49151833996323724
S New Guinea - Southeast Asia	0.23011697142417167
Indic - Southeast Asia	0.18805630023016498
N Coast Asia - Southeast Asia	0.5859423122173796
E North America - Southeast Asia	0.6670173548669123
Alaska-Oregon - Southeast Asia	0.7415460036556588
Inner Asia - Southeast Asia	0.39272340270765405
N Australia - Southeast Asia	0.4475920303025881
Europe - Southeast Asia	0.770521458679663
Basin and Plains - Southeast Asia	0.5009074598019373
Andean - Southeast Asia	0.5383048500291017
Interior New Guinea - Southeast Asia	0.466043811087332
California - Southeast Asia	0.4353536062654592
N Africa - Southeast Asia	1.6486500572303036
S Australia - Southeast Asia	0.5528675085679955
SE South America - Southeast Asia	0.9618605888589454
NE South America - Mesoamerica	0.11102231119467573
S Africa - Mesoamerica	0.24458407619521114
Oceania - Mesoamerica	0.17789414633272793
Greater Abyssinia - Mesoamerica	0.2588533016135213
S New Guinea - Mesoamerica	0.16931477752179036
Indic - Mesoamerica	0.22934550153966804
N Coast Asia - Mesoamerica	0.37422836311724206
E North America - Mesoamerica	0.21810983294599443
Alaska-Oregon - Mesoamerica	0.16571722910860093
Inner Asia - Mesoamerica	0.2563338560082377
N Australia - Mesoamerica	0.23798053843575234
Europe - Mesoamerica	0.30526230193447135
Basin and Plains - Mesoamerica	0.1539039755104673
Andean - Mesoamerica	0.24607340185144186
Interior New Guinea - Mesoamerica	0.36158694840331596
California - Mesoamerica	0.21958185618992054
N Africa - Mesoamerica	0.5442699479788856
S Australia - Mesoamerica	0.3565713545376569
SE South America - Mesoamerica	0.2625458645717782
S Africa - NE South America	0.21089837627376776
Oceania - NE South America	0.23610322690160437
Greater Abyssinia - NE South America	0.11770125824198319
S New Guinea - NE South America	0.08511013573105887
Indic - NE South America	0.08959247733462426
N Coast Asia - NE South America	0.18558299403761955
E North America - NE South America	0.10816210694934353
Alaska-Oregon - NE South America	0.19713902807099323
Inner Asia - NE South America	0.15909989616199638
N Australia - NE South America	0.15717181852199724
Europe - NE South America	0.3218075710288976
Basin and Plains - NE South America	0.08759234555529091
Andean - NE South America	0.10903292394160717
Interior New Guinea - NE South America	0.21004646862819615
California - NE South America	0.08971705552532874
N Africa - NE South America	0.5521771587858431
S Australia - NE South America	0.2346402463932466
SE South America - NE South America	0.13732429903067614
Oceania - S Africa	0.315505838451597
