Vars	Value_cfx
Eurasia - Africa	0.112385885450872
Papunesia - Africa	0.1096988063557324
North America - Africa	0.1375026894443539
South America - Africa	0.1519142314734688
Australia - Africa	0.26117759483026304
Papunesia - Eurasia	0.09761415250460337
North America - Eurasia	0.13601508026571155
South America - Eurasia	0.09854836485828618
Australia - Eurasia	0.20863692077022108
North America - Papunesia	0.11836435377828647
South America - Papunesia	0.1659176138480544
Australia - Papunesia	0.23573223362281714
South America - North America	0.052063125703736404
Australia - North America	0.1705026242901445
Australia - South America	0.1271815948302523
