Label	V1	V2	Language_ID	level	Family_ID	Name	Macroarea	americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	abaz1241	language	abkh1242	Abaza	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	abkh1244	language	abkh1242	Abkhaz	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	adha1238	language	indo1319	Adhari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	adyg1241	language	abkh1242	Adyghe	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	afta1234	dialect	indo1319	Aftari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	aghu1253	language	nakh1245	Aghul	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	aghw1237	language	nakh1245	Aghwan	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	aima1241	language	indo1319	Aimaq	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	akhv1239	language	nakh1245	Akhvakh	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	akka1240	language	afro1255	Akkadian	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	alab1256	dialect	turk1311	Alabugat Tatar	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	alsa1242	language	sign1238	Al-Sayyid Bedouin Sign Language	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	alvi1241	language	indo1319	Alviri-Vidari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	amor1239	language	afro1255	Amorite	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	anat1259	dialect	turk1311	Anatolian Turkish	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	anci1244	language	afro1255	Ancient Hebrew	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	anci1245	language	afro1255	Ancient North Arabian	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	andi1255	language	nakh1245	Andi	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	arab1399	language	sign1238	Arab El-Naim Sign Language	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	arch1244	language	nakh1245	Archi	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	arme1259	language	sign1238	Armenian Sign Language	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	asht1244	language	indo1319	Ashtiani	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	assy1241	language	afro1255	Assyrian Neo-Aramaic	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	avar1256	language	nakh1245	Avar	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	aves1237	language	indo1319	Avestan	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	bact1239	language	indo1319	Bactrian	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	bagv1239	language	nakh1245	Bagvalal	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	baha1259	language	afro1255	Baharna Arabic	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	baje1238	language	indo1319	Bajelani	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	bakh1245	language	indo1319	Bakhtiari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	barz1241	language	afro1255	Barzani Jewish Neo-Aramaic	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	bash1263	language	indo1319	Bashkardi	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	bath1244	language	afro1255	Bathari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	bats1242	language	nakh1245	Bats	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	bezh1248	language	nakh1245	Bezhta	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	boht1238	language	afro1255	Gardabani Bohtan Neo-Aramaic	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	botl1242	language	nakh1245	Botlikh	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	brah1256	language	drav1251	Brahui	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	budu1248	language	nakh1245	Budukh	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	capp1239	language	indo1319	Cappadocian Greek	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	cent1972	language	indo1319	Central Kurdish	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	cent1973	language	indo1319	Central Pashto	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	cent2319	language	sign1238	Central Taurus Sign Language	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	chag1247	language	turk1311	Chagatai	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	chal1275	language	afro1255	Chaldean Neo-Aramaic	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	cham1309	language	nakh1245	Chamalal	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	chec1245	language	nakh1245	Chechen	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	chir1284	language	nakh1245	Chirag	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	clas1249	language	indo1319	Classical-Middle Armenian	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	clas1252	language	afro1255	Classical Syriac	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	clas1253	language	afro1255	Classical Mandaic	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	cune1239	language	indo1319	Cuneiform Luwian	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	cypr1248	language	afro1255	Cypriot Arabic	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	cypr1249	language	indo1319	Cypriot Greek	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	darg1241	language	nakh1245	North-Central Dargwa	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	dari1249	language	indo1319	Dari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	dehw1238	language	indo1319	Dehwari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	dezf1238	language	indo1319	Dezfuli-Shushtari	Eurasia	not americas
Greater Mesopotamia	0.06104167206270504	-0.0861976869227632	dhof1235	language	afro1255	Dhofari Arabic	Eurasia	not americas
