Feature_ID	Phylogenetic effect (mean)	Phylogenetic effect (Standard Deviation)	Spatial effect (mean)	Spatial effect (Standard Deviation)
GB090	0.926	0.019	0.019	0.008
GB092	0.917	0.02	0.017	0.013
GB081	0.884	0.034	0.009	0.008
GB198	0.88	0.032	0.001	0.001
GB431	0.869	0.039	0.012	0.009
GB065a	0.863	0.048	0.036	0.019
GB075	0.86	0.033	0.029	0.012
GB093	0.857	0.031	0.027	0.01
GB074	0.847	0.033	0.081	0.024
GB133	0.844	0.041	0.087	0.03
GB070	0.843	0.047	0.024	0.017
GB171	0.837	0.042	0.053	0.027
GB022	0.827	0.044	0.045	0.017
GB091	0.817	0.043	0.052	0.022
GB094	0.817	0.083	0.042	0.025
GB170	0.817	0.05	0.046	0.022
GB193b	0.817	0.046	0.05	0.019
GB079	0.811	0.036	0.038	0.014
GB057	0.809	0.05	0.082	0.025
GB089	0.801	0.043	0.061	0.023
GB131	0.801	0.049	0.093	0.029
GB053	0.796	0.056	0.014	0.033
GB051	0.783	0.053	0.04	0.022
GB193a	0.781	0.05	0.066	0.022
GB043	0.779	0.07	0.057	0.029
GB103	0.779	0.05	0.052	0.022
GB433	0.777	0.064	0.058	0.03
GB072	0.77	0.059	0.038	0.024
GB111	0.769	0.057	0.007	0.008
GB028	0.766	0.043	0.059	0.022
GB116	0.758	0.07	0.003	0.002
GB115	0.754	0.048	0.061	0.023
GB155	0.752	0.052	0.109	0.035
GB107	0.747	0.053	0.054	0.018
GB020	0.745	0.054	0.032	0.015
GB042	0.744	0.077	0.021	0.019
GB114	0.744	0.059	0.058	0.023
GB024b	0.737	0.062	0.15	0.042
GB030	0.723	0.08	0.078	0.033
GB065b	0.72	0.057	0.114	0.037
GB071	0.72	0.051	0.051	0.017
GB113	0.72	0.068	0.073	0.027
GB132	0.712	0.083	0.159	0.053
GB083	0.711	0.053	0.086	0.026
GB312	0.709	0.063	0.091	0.025
GB108	0.706	0.072	0.066	0.024
GB110	0.706	0.106	0.035	0.032
GB196	0.706	0.094	0.1	0.051
GB192	0.704	0.088	0.009	0.015
GB031	0.703	0.074	0.118	0.04
GB130a	0.69	0.099	0.17	0.07
GB109	0.679	0.085	0.127	0.051
GB044	0.677	0.072	0.058	0.024
GB309	0.67	0.079	0.015	0.015
GB025b	0.668	0.067	0.148	0.04
GB147	0.665	0.069	0.162	0.043
GB105	0.658	0.077	0.012	0.014
GB149	0.658	0.103	0.042	0.03
GB104	0.655	0.113	0.112	0.059
GB432	0.646	0.067	0.103	0.033
GB096	0.641	0.107	0.008	0.01
GB059	0.627	0.12	0.117	0.057
GB054	0.619	0.099	0.038	0.03
GB172	0.615	0.118	0.111	0.06
GB318	0.608	0.112	0.07	0.038
GB185	0.602	0.09	0.084	0.044
GB299	0.602	0.099	0.095	0.043
GB073	0.601	0.084	0.099	0.035
GB082	0.601	0.078	0.087	0.03
GB130b	0.598	0.074	0.196	0.052
GB024a	0.591	0.086	0.276	0.069
GB039	0.59	0.088	0.026	0.02
GB321	0.576	0.134	0.03	0.031
GB084	0.57	0.084	0.094	0.035
GB025a	0.569	0.09	0.209	0.056
GB117	0.565	0.09	0.061	0.027
GB036	0.56	0.117	0.14	0.061
GB021	0.551	0.135	0.022	0.017
GB068	0.548	0.077	0.075	0.025
GB138	0.542	0.129	0.118	0.057
GB035	0.538	0.113	0.025	0.02
GB058	0.53	0.116	0.198	0.07
GB184	0.526	0.073	0.092	0.036
GB177	0.525	0.112	0.083	0.048
GB186	0.496	0.141	0.108	0.062
GB137	0.478	0.081	0.229	0.055
GB120	0.469	0.112	0.087	0.039
GB099	0.468	0.137	0.081	0.075
GB086	0.466	0.116	0.157	0.053
GB121	0.454	0.09	0.011	0.011
GB023	0.439	0.128	0.172	0.068
GB129	0.437	0.119	0.061	0.054
GB095	0.433	0.12	0.025	0.02
GB158	0.429	0.085	0.064	0.033
GB298	0.424	0.099	0.068	0.04
GB119	0.417	0.092	0.034	0.023
GB197	0.392	0.188	0.042	0.055
GB317	0.386	0.148	0.089	0.034
GB038	0.347	0.126	0.265	0.088
GB080	0.34	0.104	0.259	0.07
GB098	0.338	0.142	0.039	0.024
GB052	0.337	0.127	0.173	0.075
GB313	0.329	0.096	0.056	0.023
GB069	0.305	0.095	0.061	0.031
GB139	0.294	0.106	0.13	0.043
GB430	0.268	0.092	0.184	0.069
GB320	0.252	0.15	0.275	0.152
GB316	0.246	0.126	0.032	0.035
GB165	0.121	0.161	0.08	0.1
GB136	0.107	0.074	0.194	0.051
GB037	0.106	0.063	0.024	0.025
GB319	0.069	0.076	0.364	0.174
GB166	0.03	0.043	0.149	0.103
