Language_ID	GB020	GB021	GB022	GB023	GB028	GB030	GB031	GB035	GB036	GB037	GB038	GB039	GB042	GB043	GB044	GB051	GB052	GB053	GB054	GB057	GB058	GB059	GB068	GB069	GB070	GB071	GB072	GB073	GB074	GB075	GB079	GB080	GB081	GB082	GB083	GB084	GB086	GB089	GB090	GB091	GB092	GB093	GB094	GB095	GB096	GB098	GB099	GB103	GB104	GB105	GB107	GB108	GB109	GB110	GB111	GB113	GB114	GB115	GB116	GB117	GB119	GB120	GB121	GB129	GB131	GB132	GB133	GB136	GB137	GB138	GB139	GB147	GB149	GB155	GB158	GB165	GB166	GB170	GB171	GB172	GB177	GB184	GB185	GB186	GB192	GB196	GB197	GB198	GB298	GB299	GB309	GB312	GB313	GB316	GB317	GB318	GB319	GB320	GB321	GB430	GB431	GB432	GB433	GB024a	GB024b	GB025a	GB025b	GB065a	GB065b	GB130a	GB130b	GB193a	GB193b	AUTOTYP_area	Macroarea	Family_ID	aes	level	Name	Estimator	Probability	Surprisal	Endangerement	Language_ID2	Pred_Surprisal	Pred_Error	Res_Surprisal	Z_Surprisal
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Kernel 15	0.00757847778597916	4.882442919286518	shifting	abar1238	4.7155585119672105	0.2911415509172786	0.16688440731930765	0.16688440731930765
abkh1244	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	Greater Mesopotamia	Eurasia	abkh1242	threatened	language	Abkhaz	Kernel 15	0.00435207170722617	5.437103292719988	endangered	abkh1244	5.095560899357113	0.3033323481962257	0.3415423933628752	0.3415423933628752
abua1245	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	N Coast New Guinea	Papunesia	nucl1708	shifting	language	Abu' Arapesh	Kernel 15	0.00486644478848554	5.325391631382355	shifting	abua1245	5.057425232883741	0.2882242308454712	0.26796639849861403	0.26796639849861403
abun1252	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	N Coast New Guinea	Papunesia	abun1252	shifting	language	Abun	Kernel 15	0.01534356794925975	4.177058918871759	shifting	abun1252	4.290620840310548	0.3147414856092135	-0.11356192143878907	-0.11356192143878907
acha1249	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	Southeast Asia	Eurasia	sino1245	shifting	language	Longchuan Achang	Kernel 15	0.02349480529312937	3.750975933623673	shifting	acha1249	3.930642936982925	0.2631438500454216	-0.17966700335925223	-0.17966700335925223
achi1256	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	Mesoamerica	North America	maya1287	threatened	language	Achi	Kernel 15	0.00647811020176261	5.039326446682325	endangered	achi1256	4.9654582987549984	0.2737063622458669	0.07386814792732643	0.07386814792732643
achi1257	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	Southeast Asia	Papunesia	aust1307	threatened	language	Acehnese	Kernel 15	0.01869890065904739	3.9792905451359304	endangered	achi1257	4.0598159279907975	0.2800168497835033	-0.0805253828548671	-0.0805253828548671
achu1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	NE South America	South America	jiva1245	shifting	language	Achuar-Shiwiar	Kernel 15	0.01731337491661637	4.056275959611653	shifting	achu1248	4.422830544099122	0.27411584581214987	-0.3665545844874689	-0.3665545844874689
acol1236	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	1	S Africa	Africa	nilo1247	not_endangered	language	Acoli	Kernel 15	0.00774383349395729	4.860858430535854	not_endangered	acol1236	4.778928601976118	0.2827710040305307	0.08192982855973607	0.08192982855973607
adan1251	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	Oceania	Papunesia	timo1261	shifting	language	Adang	Kernel 15	0.00955541383258866	4.650647391648116	shifting	adan1251	4.637379773234915	0.3171279052231382	0.013267618413200566	0.013267618413200566
