lg	prob_lca	Language_ID
1	1.5777557346246256e-29	abar1238
2	6.316124765212934e-32	abkh1244
3	3.867705451787319e-31	abua1245
4	1.4176327482985004e-23	abun1252
5	5.647634643532775e-23	acha1249
6	1.029808517650931e-27	achi1256
7	4.412083569542298e-22	achi1257
8	5.223474537508086e-22	achu1248
9	1.2353717768706232e-26	acol1236
10	3.2274869797028977e-26	adan1251
11	2.4236164252040253e-21	adon1237
12	5.917627849170146e-20	adze1240
13	3.269403385514671e-26	afar1241
14	1.0387254765817484e-26	aghe1239
15	7.891303956723685e-26	aghu1255
16	2.3919582770390774e-29	aghw1237
17	1.3625719503184286e-24	agob1244
18	5.8709059272404085e-25	agua1253
19	1.736104311714125e-25	agut1237
20	3.8407192088335595e-21	aheu1239
21	5.390169797368603e-22	ahom1240
22	1.2899959450192516e-27	aime1238
23	2.827129437315403e-26	ainu1240
24	1.0935134059929293e-22	ajab1235
25	1.6368268368833623e-24	ajie1238
26	2.1154003720861335e-26	akab1249
27	4.334135076225807e-23	akha1245
28	1.5979092123470116e-29	akka1240
29	1.3287617522995823e-27	akla1240
30	3.7584516641243366e-28	akoo1248
31	2.581870947818254e-24	akun1241
32	3.792750379057094e-27	alab1237
33	5.731958266490389e-29	alab1254
34	1.084815265775727e-31	alac1244
35	5.777955795736712e-28	alag1248
36	3.75265559450421e-30	aleu1260
37	2.3458937310654366e-22	alor1247
38	9.828458826207634e-26	alse1251
39	1.2193074792506901e-23	aluk1238
40	4.3543330633181544e-23	amah1246
41	1.0484637187135329e-28	amam1246
42	1.472465682306307e-24	amap1240
43	3.300271055247119e-23	amar1272
44	3.8272919453171726e-25	amar1274
45	2.7690865273949246e-22	amas1236
46	1.4673297533039596e-20	ambo1250
47	3.563148441586069e-21	amdo1237
48	2.92490958537544e-35	amii1238
49	5.393601953769872e-25	amis1246
50	4.358728464575622e-21	amri1238
51	4.654679746395227e-32	anci1242
52	2.4212650616621238e-33	anci1244
53	6.7735891926241485e-28	anei1239
54	3.5321467143463635e-26	anga1288
55	3.404790143943309e-21	anuf1239
56	1.1601818477708777e-25	anut1237
57	1.8092905892091552e-26	anuu1241
58	1.981493983814977e-21	aona1235
59	3.5978734859494433e-20	aoua1234
60	6.763778950671965e-23	apat1240
61	5.1084009760583716e-27	apin1244
62	2.182058228063922e-23	apma1240
63	9.919129642213576e-30	apur1254
64	8.630515592506607e-25	arak1252
65	2.7974954885080654e-27	arao1248
66	4.998843514361297e-30	arap1274
67	2.080687301754595e-21	araw1273
68	3.9814069804583637e-28	arbo1245
69	1.1480644562696722e-30	arch1244
70	1.3007330548074705e-23	area1240
71	8.933947821567909e-23	aree1239
72	3.1139305470035586e-30	argo1244
73	4.424783237783778e-28	arhu1242
74	4.478701556446594e-35	arom1237
75	9.871526452474437e-26	arop1242
76	1.2580077351665048e-20	arop1243
77	6.522807621057601e-29	arta1239
78	1.6554439085648214e-32	ashe1272
79	5.67443849315525e-27	assi1247
80	2.6296856284004536e-23	asur1254
81	7.301694308018629e-28	atak1252
82	1.9699888221445485e-24	atam1240
83	7.287838073740628e-26	athp1241
84	4.1416887470573114e-22	aton1241
85	3.9026949974174787e-25	aulu1238
86	3.2698129338503584e-28	auuu1241
87	7.424599790371775e-28	auye1238
88	8.61088086781226e-22	avac1239
89	1.2044709507141699e-21	awac1239
90	1.1186954957458605e-25	awad1243
91	4.0267376814791033e-25	awad1244
92	1.2969140868068308e-23	awar1249
93	2.6238969333296517e-24	awet1244
94	1.823368692175935e-27	axam1237
95	8.639962517215624e-22	axiy1235
96	3.684491423504202e-24	ayac1239
97	1.0011410079667602e-27	ayiw1239
98	1.0760642687808926e-22	azha1235
99	6.141436198899128e-29	baba1264
100	3.4036090395455515e-26	baba1266
101	4.6428735627042345e-20	baba1267
102	1.5422700619090806e-28	babi1235
103	3.838868486402535e-28	bafi1243
104	4.95933914586871e-28	bafu1246
105	1.1553815742822193e-23	bagi1246
106	6.325752359979923e-30	bagv1239
107	1.226045043962529e-31	baha1259
108	2.9618887549536756e-26	bahi1252
109	1.5011076742877427e-21	baim1244
110	1.0719868770387099e-20	baka1272
111	7.268727382891311e-26	baki1244
112	1.8805182372374394e-24	bala1311
113	2.580794237593473e-24	bala1315
114	4.231813954342435e-28	bala1316
115	4.3262157053318915e-30	bali1278
116	2.4552657301716346e-32	balu1257
117	1.1655462012672548e-29	bamu1253
118	4.8599954479505337e-23	band1344
119	2.636164197358585e-29	bang1354
120	2.1988286975216755e-19	bang1369
121	1.245428326579837e-25	bant1281
122	1.4728876555360872e-21	bara1357
123	4.6989716050623177e-26	barg1252
124	1.2333780928963193e-22	bari1286
125	2.0696366643497877e-24	baro1253
126	5.797694647879829e-23	bash1264
127	1.784725310212948e-25	basq1248
128	5.232274765232247e-26	bata1289
129	1.3822555374373072e-24	bats1242
130	4.845411178727243e-35	baur1253
131	7.698962552710084e-22	bawm1236
132	2.328297667372611e-28	bayb1234
133	1.0884704756295233e-27	bebe1248
134	9.128844950784378e-25	beka1241
135	1.5395352477905815e-22	bekw1241
136	2.409487032317093e-33	bela1254
137	2.3064263640721828e-26	belh1239
138	1.8864091299888864e-34	bell1243
139	1.184824323156662e-29	bemb1257
140	1.0104410153785659e-26	bent1238
141	1.0708777769468844e-20	berb1259
142	1.4996445938553746e-21	beta1252
143	2.923914868792054e-27	bezh1248
144	3.8624990291972393e-23	bhoj1244
145	2.3893953744781809e-23	bian1252
146	8.363887197839975e-21	biao1253
147	1.259792890731923e-21	biao1254
148	7.427897636565138e-22	biao1256
149	9.908588018087493e-27	bier1244
150	7.682996759846751e-24	bign1238
151	6.831691600489128e-20	biha1246
152	2.0701147602301714e-27	bili1260
153	1.0211180332785802e-28	bimi1240
154	4.592922120721764e-22	bina1277
155	3.686284483140695e-22	bini1246
156	1.4260236252437121e-24	bira1253
157	4.0030456390131345e-24	bisl1239
158	2.1478502995288884e-23	bisu1244
159	3.034719194410472e-24	bitt1240
160	3.030825262142554e-21	biwa1243
161	6.166822378080697e-27	blab1237
162	9.928377064639879e-21	blan1242
163	4.430192903465862e-22	bodo1269
164	1.3943573047470514e-32	boht1238
165	1.3701738470972094e-24	boka1249
166	5.211185194751848e-26	bola1250
167	7.11349478149315e-23	boly1239
168	2.254744464949629e-25	bomk1234
169	2.052998806763409e-23	bona1250
170	2.363083627461268e-22	bond1245
171	2.1926373211722496e-30	bond1247
172	4.958161019109619e-22	bong1289
173	9.77565134591814e-35	bora1263
174	1.0574707899191319e-22	bord1248
175	1.0202059231152737e-23	bori1243
176	3.14068594649035e-28	boro1277
177	1.592749712625058e-23	boro1282
178	1.7128731006791336e-23	boto1242
179	8.771412980040274e-23	boun1243
180	8.977931268497888e-26	brah1256
181	5.410336436985357e-34	bret1244
182	1.285240203090396e-27	brib1243
183	1.6203218666362376e-25	budu1248
184	4.678478553415398e-28	budz1238
185	6.711181471596824e-19	buga1247
186	7.352892929889563e-26	buga1250
187	2.43442711463941e-24	bugi1244
188	4.35648064249014e-23	bugl1243
189	8.911372797301696e-25	bujh1238
190	4.607228470246387e-29	bull1247
191	1.0223173004440635e-21	bulo1242
192	1.3685249162244093e-27	bulu1251
193	8.3822665760032e-24	bumt1240
194	2.337136282670899e-28	bund1253
195	1.5664450707001548e-20	bura1292
196	1.1624129370272242e-30	burj1242
197	2.443503636427559e-31	buru1296
198	1.2426976928056932e-28	buru1320
199	2.099208558625359e-22	busa1253
200	2.301662788901742e-29	bush1247
201	3.1086133868981658e-22	buwa1243
202	1.0223823632705369e-22	bwai1242
203	3.8780711148771807e-29	bwat1240
204	7.06706382455577e-26	byan1241
205	1.0241111512313636e-27	caac1237
206	9.473554236851767e-24	cacu1241
207	7.032459481432151e-26	cahu1264
208	3.7903605991721245e-26	cakf1236
