Language_ID	GB020	GB021	GB022	GB023	GB028	GB030	GB031	GB035	GB036	GB037	GB038	GB039	GB042	GB043	GB044	GB051	GB052	GB053	GB054	GB057	GB058	GB059	GB068	GB069	GB070	GB071	GB072	GB073	GB074	GB075	GB079	GB080	GB081	GB082	GB083	GB084	GB086	GB089	GB090	GB091	GB092	GB093	GB094	GB095	GB096	GB098	GB099	GB103	GB104	GB105	GB107	GB108	GB109	GB110	GB111	GB113	GB114	GB115	GB116	GB117	GB119	GB120	GB121	GB129	GB131	GB132	GB133	GB136	GB137	GB138	GB139	GB147	GB149	GB155	GB158	GB165	GB166	GB170	GB171	GB172	GB177	GB184	GB185	GB186	GB192	GB196	GB197	GB198	GB298	GB299	GB309	GB312	GB313	GB316	GB317	GB318	GB319	GB320	GB321	GB430	GB431	GB432	GB433	GB024a	GB024b	GB025a	GB025b	GB065a	GB065b	GB130a	GB130b	GB193a	GB193b	AUTOTYP_area	Macroarea	Family_ID	aes	level	Name	Estimator	Probability	Surprisal
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Kernel 1	0.6902187014660275	0.3707467729651954
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Kernel 5	0.1661817969045044	1.7946729278027724
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Kernel 10	0.03229791495709823	3.432752603248942
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Kernel 20	0.0023838815920696516	6.039025198768536
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Kernel 30	8.11394580395034e-4	7.1167560865400485
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Kernel 40	6.821773790434841e-4	7.290220847363438
abar1238	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	African Savannah	Africa	atla1278	shifting	language	Mungbam	Bayesian LCA	1.5686832538010344e-29	66.32473112121237
abkh1244	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	Greater Mesopotamia	Eurasia	abkh1242	threatened	language	Abkhaz	Kernel 1	0.6742046234818321	0.3942216184752962
abkh1244	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	Greater Mesopotamia	Eurasia	abkh1242	threatened	language	Abkhaz	Kernel 5	0.1439231950745481	1.93847548923506
abkh1244	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	Greater Mesopotamia	Eurasia	abkh1242	threatened	language	Abkhaz	Kernel 10	0.022796730845123046	3.7811381372880395
