lg	prob_lca
1	1.5686832538010344e-29
2	6.050566179221072e-32
3	2.6349232121825787e-31
4	1.3361043295365374e-23
5	5.619483701425228e-23
6	7.16556161066437e-27
7	4.395637499163987e-22
8	5.3009964587615065e-22
9	1.2312613111795965e-26
10	3.06094183363536e-26
11	2.3625011797531915e-21
12	5.729880537944862e-20
13	3.35829140395492e-26
14	1.02249126013303e-26
15	7.275682375472066e-26
16	1.3547553641043418e-29
17	1.3652303407261752e-24
18	6.057752537973782e-25
19	2.3962199452788616e-25
20	3.77400014574866e-21
21	5.381764601263683e-22
22	1.2625255016943838e-27
23	3.361466112177639e-26
24	1.0746867530728615e-22
25	4.9292655997178266e-24
26	2.0719876059517632e-26
27	4.163202783982314e-23
28	1.602517195314146e-29
29	5.000467119466794e-27
30	3.811788443537706e-28
31	2.5805492707548943e-24
32	3.496202373076277e-27
33	5.915307984740109e-29
34	1.985948828529777e-31
35	5.920723302457849e-28
36	3.835644520481645e-30
37	2.2106100562898745e-22
38	1.0188961380625775e-25
39	1.2632935963275659e-23
40	4.342165908315574e-23
41	1.0715204275763373e-28
42	1.4300069859484887e-24
43	3.1911216307804535e-23
44	3.9558259335609614e-25
45	2.7297037078589105e-22
46	1.462789561571447e-20
47	3.597217200048458e-21
48	2.843878515113889e-35
49	5.323457486679087e-25
50	3.888793742704689e-20
51	4.6131164483678524e-32
52	2.5415583760598463e-33
53	6.742829823735606e-28
54	1.544889526927572e-26
55	3.268352287748679e-21
56	9.609155064543588e-26
57	1.8676064279548602e-26
58	1.8984419472852705e-21
59	3.624159281911908e-20
60	6.594479761935068e-23
61	2.0622954057639642e-27
62	2.129476623062952e-23
63	2.490779543210731e-30
64	8.398848169762954e-25
65	2.9373474251256503e-27
66	5.0811011166254024e-30
67	1.9895280476345654e-21
68	3.9200083031402282e-28
69	1.1325156037162705e-30
70	1.3103418509241516e-23
71	8.767072838238543e-23
72	3.3143919002172506e-30
73	8.48448039556745e-28
74	4.582737100535399e-35
75	9.659847523772324e-26
76	1.2328665075173474e-20
77	2.1284636201943502e-29
78	1.66691884948183e-32
79	5.5034926847833136e-27
80	2.7891777233100265e-23
81	7.385360468648734e-28
82	1.9298758064956333e-24
83	7.453017715414799e-26
84	4.0005118811949237e-22
85	1.9541411738621576e-24
86	3.0444654571438096e-28
87	7.311227175573726e-28
88	2.3718592667134698e-22
89	1.2130042658277006e-21
90	1.1214593390305084e-25
91	4.272556888222112e-25
92	1.2578642714824485e-23
93	2.478751191479513e-24
94	1.8327456945905773e-27
95	8.75627484288511e-22
96	3.8851176957381555e-24
97	9.648572711340885e-28
98	1.0506689296225513e-22
99	2.847303163948594e-29
100	3.3161302259987157e-26
101	4.815856591203053e-20
102	1.5122940673178587e-28
103	3.7696999591660197e-28
104	4.830569547767489e-28
105	4.3651839820081437e-23
106	4.489902567185629e-30
107	1.2650319783859068e-31
108	2.96854462358514e-26
109	1.4626147738453136e-21
110	1.0884113574638461e-20
111	4.064072082018289e-26
112	1.8567799270151324e-24
113	2.5874539480647963e-24
114	4.317931231795641e-28
115	4.462858651920845e-30
116	2.5959273935921784e-32
117	2.771819651689221e-29
118	4.819410326385865e-23
119	1.7801127605275058e-30
120	1.1172304187922093e-20
121	1.255916383825279e-25
122	1.5442195222001959e-21
123	4.7052865279788283e-26
124	1.1403937238800484e-22
125	2.0659439040310674e-24
126	6.05587804153426e-23
127	1.7830009380564184e-25
128	4.959439466603917e-26
129	1.4188227577857101e-24
130	4.811200569339707e-35
131	3.376767598844526e-22
132	3.3709397814236513e-28
133	1.0832467658793735e-27
134	9.057311536334268e-25
135	1.5740059532839598e-22
136	2.4053418672737144e-33
137	1.0477076077707054e-26
138	1.942661303215041e-34
139	1.172745960426378e-29
140	1.0135083294871543e-26
141	1.082766381161525e-20
142	8.474501606805965e-21
143	1.2787056251059359e-26
144	3.952808112680587e-23
145	3.948000240581352e-24
146	8.39571455457604e-21
147	1.2750749497742802e-21
148	7.663453295867176e-22
149	9.168866027026812e-27
150	7.711599686061098e-24
151	6.749058952481915e-20
152	2.1195887809360578e-27
153	9.879929579758805e-29
154	4.521662236951437e-22
155	3.654758795255271e-22
156	1.3803494292814978e-24
157	4.0217303449153786e-24
158	2.1165180152156852e-23
159	2.9027061672989366e-24
160	3.1151376110530064e-21
161	6.252952907719374e-27
162	9.950467974477116e-21
163	4.26214702198217e-22
164	1.4544260257729497e-32
165	1.336351008266597e-24
166	5.10792587175284e-26
167	7.125030588391336e-23
168	2.277967164988878e-25
169	2.0837305774141143e-23
170	2.354452528441659e-22
171	5.9881255804463235e-30
172	3.2948874959385334e-22
173	9.720778078957328e-35
174	1.0338004355913651e-22
175	8.247833199064132e-24
176	3.1505137952579787e-28
177	1.5041134783416336e-23
178	1.7293173289816368e-23
179	8.937497358677912e-23
180	9.075188040323209e-26
181	5.678237641531812e-34
182	5.586345889884687e-28
183	1.621918903330153e-25
184	4.9512299256936985e-28
185	6.509599865395406e-19
186	7.328291486464852e-26
187	2.4527243141809223e-24
188	4.273568999416197e-23
189	9.1918016130987e-25
190	4.512193071000393e-29
191	1.0106424896167637e-21
192	1.3239768373479258e-27
193	8.473103950872965e-24
194	2.4642611433632464e-28
195	1.0036119565864007e-20
196	1.219603866741046e-30
197	2.496393458693329e-31
198	1.2405644452359765e-28
199	2.1091542535509146e-22
200	2.391344751649452e-29
201	3.0103012605821635e-22
202	3.7619210936443692e-22
203	3.988661398682297e-29
204	4.800180873963875e-26
205	1.5232529729300863e-27
206	9.911271418762e-24
207	7.038913454887186e-26
208	4.008020637582175e-26
209	1.1569124660716056e-21
210	3.111432123440797e-23
211	1.9032126913416247e-32
212	5.207341786222889e-25
213	4.044266842109417e-24
214	2.1347179589922194e-21
215	2.0974008950912192e-23
216	5.108608059723221e-25
217	4.93916289157562e-25
218	1.0338058746272885e-26
219	8.256677236284938e-30
220	3.0229002022442824e-22
221	6.047610937998779e-30
222	1.0173717016804855e-24
223	5.854972455144365e-23
224	8.772813930857217e-22
225	8.922794836893748e-25
226	7.3537655438457174e-28
227	1.3182510671834517e-21
228	1.189528227517383e-21
229	1.0820975824000407e-27
230	7.711727943622827e-25
231	9.956490788715058e-24
232	1.4059605956768151e-25
233	2.1563615863410526e-24
234	9.86007217276935e-28
235	3.38352005540051e-21
236	1.1807623070442166e-22
237	3.091943470974917e-27
238	7.364647062672883e-33
239	2.2168118296065253e-20
240	4.731348993679066e-24
241	9.042076155417267e-33
242	5.509311982512578e-29
243	7.188669263237481e-27
244	9.411342553871206e-22
245	4.515742760749143e-23
246	1.6307237251279573e-20
247	8.402326780087675e-28
248	1.5302022476536634e-21
249	1.9713339568729433e-24
250	6.425491802678937e-23
251	1.7483220116050784e-30
252	2.7655548365415645e-25
253	9.62350112498286e-25
254	2.1266420572144896e-24
255	1.2454683726759087e-27
256	3.4289862619733046e-24
257	1.1120379875550129e-32
258	2.2273211089089565e-25
259	5.1362882692928193e-26
260	6.780618059455611e-36
261	1.078277166931399e-22
262	1.569168321705775e-25
263	3.366067528102052e-30
264	4.69571960317976e-25
265	2.188350632350231e-20
266	2.0045848442352877e-20
267	1.3827750434366618e-20
268	1.5747683896004344e-22
269	9.187976637890107e-29
270	1.2833242618285923e-24
271	2.9337489704752703e-23
272	5.666430949882884e-28
273	2.0821052930626374e-31
274	1.333265126455028e-26
275	5.943567808172334e-32
276	2.6928763336441034e-27
277	7.076968357027043e-25
278	2.0809373331701872e-30
279	9.721940686172207e-27
280	5.699743523954488e-26
281	1.3736943274932144e-32
282	8.991596180831335e-29
283	1.0508419869080484e-28
284	1.0915055195225587e-28
285	2.1035686193357213e-33
286	1.6264638599757754e-20
287	7.584584661899251e-31
288	1.063143467626038e-26
289	2.3884887081788572e-23
290	4.6786054659254315e-25
291	6.174578028115845e-32
292	8.738560013552643e-35
293	8.727720707931425e-27
294	1.921084946425507e-24
295	1.8200137518757248e-31
296	1.5345833082578882e-22
297	1.5465650769119036e-25
298	1.1482344809958736e-24
299	1.6080804768366926e-23
300	8.23752706216058e-29
301	1.9630617459617075e-25
302	1.6034224884375068e-23
303	7.746220030545215e-22
304	8.527940118988337e-26
305	1.9394601812840505e-32
306	1.234893446396007e-22
307	4.968030152638123e-24
308	9.527641753497115e-21
309	3.1843002722521083e-22
310	1.5761068773268404e-28
311	6.379256724782415e-28
312	1.8254291170797843e-28
313	6.462655792865027e-29
314	5.958664117142847e-30
315	1.780798455563617e-24
316	5.0348108691195494e-21
317	1.199447873272572e-22
318	2.4202675564101963e-28
319	9.349085862026596e-25
320	6.0646985089710405e-28
321	1.5678047263211783e-20
322	3.0782243344915057e-27
323	5.314012056550761e-37
324	9.173603723034299e-30
325	8.700904142411923e-24
326	9.610093941006145e-25
327	6.606151894273173e-21
328	1.8925033155332175e-21
329	9.193838551902697e-26
330	1.078713710255885e-28
331	7.667914468026585e-27
332	6.601283977159777e-27
333	3.7237984376735484e-23
334	2.6391733932259348e-31
335	2.923003903165339e-32
336	2.2664901780420445e-21
337	2.8387064550484084e-23
338	1.2733861087812018e-21
339	2.74860062936068e-27
340	5.243054273553488e-24
341	9.286291442628255e-23
342	2.4301163223315464e-20
343	2.4624350881008793e-27
344	9.734713425559265e-27
345	5.994335126348866e-20
346	3.111689522083629e-27
347	1.358150118304912e-22
348	1.7074192992989872e-25
349	3.032945535294927e-30
350	1.923926112129664e-27
351	6.043147319518701e-23
352	5.286218032135744e-28
353	1.1453111160638561e-33
354	4.073314002707718e-24
355	1.7921192029875928e-31
356	3.0322670320960583e-24
357	3.049832738068773e-29
358	4.334082066093833e-23
359	1.8077559915648332e-23
360	4.0980048594067363e-25
361	3.332811179908704e-23
362	3.811515135133154e-20
363	8.821509491593973e-26
364	1.1837594767517537e-21
