taxon,isocode,glottocode,xd_ids,soc_ids
BUNA,,buna1277,,
KAKARA_BUNA,,buna1277,,
BUNGAIN,,bung1270,,
MANDI_PAPUANG,,wiar1238,,
MUNIWARA,,juwa1238,,
URIMO,,urim1251,,
PARUWA,,kama1367,,
KENYARI,,kama1367,,
YIBAB,,kama1367,,
SAMAP,,elep1240,,
WANDOMI,,kama1367,,
KAMASAU,,kama1367,,
WAU,,kama1367,,
KAMASAU_2,,kama1367,,
TRING_PNG,,kama1367,,
SETA,,seta1245,,
SETI,,seti1248,,
MOLMO_ONE,,molm1235,,
ONE_INEBU,,ineb1235,,
BELI,,beli1258,,
YIL,,yill1241,,
NINGIL,,ning1273,,
YIR,,yill1241,,
DIA,,diaa1238,,
GALU,,sina1269,,
SINAGEN,,sina1269,,
YAU,,yaus1235,,
YIS,,yiss1240,,
AU,,auuu1241,,
ELKEI,,elke1240,,
OLO_ERETEI,,oloo1241,,
OLO_LUMI,,oloo1241,,
OLO_YEBIL,,oloo1241,,
SELEPUT,,sili1247,,
YAHANG,,yaha1247,,
HEYO_2,,heyo1240,,
HEYO,,heyo1240,,
WIAKI,,mini1253,,
WAM,,womp1235,,
WOM,,womp1235,,
URAT,,urat1244,,
ARAPESH,,bumb1241,,
ABU_ARAPESH,,abua1245,,
BUKIYIP,,buki1249,,
YAMBES,,yamb1254,,
YAMPES,,yamb1254,,
KOMBIO,,komb1272,,
EITIEP,,eiti1240,,
ARO,,torr1259,,
TORRICELLI,,torr1259,,
KUKWO,,urim1252,,
WALMAN_CHINAPELI,,valm1241,,
WALMAN,,valm1241,,
AGI_AGEI,,agii1245,,
AGI_YOLPA,,agii1245,,
YERI,,yapu1240,,
NABI,,nabi1239,,
WANAP,,wana1268,,
AIKU,,yang1296,,
YANGUM_DEY,,yang1297,,
AMOL,,amol1235,,
BRAGAT,,brag1240,,
SRENGE,,aruo1240,,
TIWI,,tiwi1244,xd778,"B95, Id3, SCCS90"
ORIG,,tega1236,,
TAGOI,,tago1246,,
QAQET,,qaqe1238,,
