"","Language_ID"
"1","adon1237"
"2","aghw1237"
"3","agut1237"
"4","ajab1235"
"5","alab1254"
"6","alac1244"
"7","amam1246"
"8","amri1238"
"9","anuu1241"
"10","asur1254"
"11","athp1241"
"12","auye1238"
"13","awad1243"
"14","axiy1235"
"15","azha1235"
"16","baba1267"
"17","babi1235"
"18","baha1259"
"19","bala1315"
"20","bala1316"
"21","bang1369"
"22","bant1281"
"23","bara1357"
"24","bawm1236"
"25","bayb1234"
"26","bebe1248"
"27","belh1239"
"28","bent1238"
"29","berb1259"
"30","beta1252"
"31","bian1252"
"32","biha1246"
"33","bisl1239"
"34","biwa1243"
"35","boht1238"
"36","boka1249"
"37","bujh1238"
"38","buwa1243"
"39","bwat1240"
"40","cakf1236"
"41","caom1238"
"42","cent2314"
"43","cent2322"
"44","chak1270"
"45","chak1271"
"46","chas1234"
"47","chen1255"
"48","chil1280"
"49","chin1286"
"50","chir1283"
"51","coat1243"
"52","cosa1234"
"53","daai1236"
"54","dhuw1249"
"55","dura1244"
"56","east2485"
"57","east2690"
"58","east2773"
"59","east2782"
"60","ersu1241"
"61","eude1234"
"62","fili1244"
"63","fina1242"
"64","fore1265"
"65","gahr1239"
"66","gang1266"
"67","gant1244"
"68","ghan1242"
"69","gofa1235"
"70","guan1266"
"71","gube1234"
"72","guiq1238"
"73","gyel1242"
"74","hait1244"
"75","hela1238"
"76","hoaa1235"
"77","horp1239"
"78","hula1239"
"79","hula1244"
"80","huuu1240"
"81","iron1242"
"82","isin1239"
"83","isth1240"
"84","jalk1242"
"85","jama1262"
"86","japh1234"
"87","jenn1240"
"88","kada1242"
"89","kado1242"
"90","kama1351"
"91","kamm1249"
"92","kani1286"
"93","kara1487"
"94","kari1254"
"95","kele1258"
"96","kemb1249"
"97","khan1277"
"98","khar1288"
"99","kile1243"
"100","koda1255"
"101","kola1285"
"102","kolb1240"
"103","kolu1245"
"104","komi1270"
"105","kona1242"
"106","kota1263"
"107","koys1242"
"108","kumz1235"
"109","lahu1252"
"110","lamk1238"
"111","lara1260"
"112","lele1276"
"113","lewo1244"
"114","lipo1242"
"115","lish1245"
"116","livv1243"
"117","loka1252"
"118","lolo1259"
"119","lowe1427"
"120","lowl1265"
"121","ludi1246"
"122","maco1239"
"123","magd1235"
"124","maka1304"
"125","makh1266"
"126","mala1463"
"127","malg1251"
"128","mang1401"
"129","mang1403"
"130","maya1285"
"131","maza1304"
"132","melo1242"
"133","meru1245"
"134","meta1238"
"135","mila1245"
"136","mina1276"
"137","minh1238"
"138","mokl1243"
"139","mosi1247"
"140","moyo1238"
"141","mudu1239"
"142","munc1235"
"143","namu1246"
"144","ndam1239"
"145","nenn1238"
"146","nese1235"
"147","ngan1291"
"148","nica1252"
"149","nisg1240"
"150","niua1240"
"151","njan1240"
"152","nopa1235"
"153","nort2774"
"154","nort2885"
"155","nort2938"
"156","nort2961"
"157","nort3047"
"158","nots1237"
"159","nubi1253"
"160","nucl1240"
"161","nyam1285"
"162","nyat1246"
"163","nyul1247"
"164","okin1246"
"165","oldk1249"
"166","orok1269"
"167","orow1242"
"168","pait1244"
"169","papa1265"
"170","papu1250"
"171","para1302"
"172","patt1248"
"173","phai1238"
"174","piji1239"
"175","pite1240"
"176","plai1258"
"177","puni1241"
"178","rapa1245"
"179","remb1250"
"180","saba1263"
"181","saka1289"
"182","sana1297"
"183","sand1278"
"184","sant1436"
"185","sara1340"
"186","shan1283"
"187","shix1238"
"188","shol1240"
"189","shwe1236"
"190","situ1238"
"191","sooo1254"
"192","sout2729"
"193","sout2954"
"194","sout2989"
"195","sout3236"
"196","sout3261"
"197","sril1245"
"198","stan1306"
"199","suda1237"
"200","surg1248"
"201","tang1373"
"202","tang1377"
"203","tanz1241"
"204","teke1275"
"205","tern1247"
"206","tetu1246"
"207","tezo1238"
"208","tief1244"
"209","tigo1236"
"210","toba1268"
"211","tokp1240"
"212","tomm1242"
"213","tond1249"
"214","tong1329"
"215","torr1261"
"216","tote1238"
"217","toto1302"
"218","tsix1234"
"219","tula1252"
"220","tule1245"
"221","tuwa1243"
"222","umes1235"
"223","vunj1238"
"224","wayu1241"
"225","weri1253"
"226","west2415"
"227","west2418"
"228","west2466"
"229","west2632"
"230","worr1237"
"231","wudi1238"
"232","wutu1241"
"233","xinc1242"
"234","xinc1243"
"235","xinc1246"
"236","xink1235"
"237","yaki1237"
"238","yaul1241"
"239","yayg1236"
"240","yong1270"
"241","yulp1239"
"242","zamb1245"
"243","zani1235"
"244","zaye1235"
